Date,Hour,Minute,Power (kW)
5/3/2012,19,30,12.03
5/3/2012,19,45,11.52
5/3/2012,20,0,11.52
5/3/2012,20,15,17.92
5/3/2012,20,30,14.91
5/3/2012,20,45,12.1
5/3/2012,21,0,15.55
5/3/2012,21,15,12.1
5/3/2012,21,30,11.65
5/3/2012,21,45,11.65
5/3/2012,22,0,11.65
5/3/2012,22,15,11.65
5/3/2012,22,30,11.65
5/3/2012,22,45,11.65
5/3/2012,23,0,11.65
5/3/2012,23,15,11.65
5/3/2012,23,30,11.65
5/3/2012,23,45,12.16
5/4/2012,0,0,21.57
5/4/2012,0,15,15.1
5/4/2012,0,30,17.92
5/4/2012,0,45,12.54
5/4/2012,1,0,11.97
5/4/2012,1,15,12.03
5/4/2012,1,30,12.03
5/4/2012,1,45,12.03
5/4/2012,2,0,12.03
5/4/2012,2,15,11.52
5/4/2012,2,30,11.52
5/4/2012,2,45,11.52
5/4/2012,3,0,12.03
5/4/2012,3,15,17.73
5/4/2012,3,30,16.7
5/4/2012,3,45,16.77
5/4/2012,4,0,12.03
5/4/2012,4,15,12.03
5/4/2012,4,30,12.03
5/4/2012,4,45,12.03
5/4/2012,5,0,11.52
5/4/2012,5,15,11.65
5/4/2012,5,30,15.68
5/4/2012,5,45,12.29
5/4/2012,6,0,16.77
5/4/2012,6,15,12.03
5/4/2012,6,30,17.92
5/4/2012,6,45,15.68
5/4/2012,7,0,11.97
5/4/2012,7,15,12.03
5/4/2012,7,30,12.03
5/4/2012,7,45,16.45
5/4/2012,8,0,11.97
5/4/2012,8,15,11.97
5/4/2012,8,30,11.97
5/4/2012,8,45,11.97
5/4/2012,9,0,11.46
5/4/2012,9,15,11.46
5/4/2012,9,30,11.46
5/4/2012,9,45,11.97
5/4/2012,10,0,20.54
5/4/2012,10,15,12.22
5/4/2012,10,30,11.71
5/4/2012,10,45,11.71
5/4/2012,11,0,13.63
5/4/2012,11,15,16.19
5/4/2012,11,30,14.91
5/4/2012,11,45,12.22
5/4/2012,12,0,11.71
5/4/2012,12,15,11.71
5/4/2012,12,30,11.71
5/4/2012,12,45,16.96
5/4/2012,13,0,12.35
5/4/2012,13,15,12.35
5/4/2012,13,30,11.84
5/4/2012,13,45,17.28
5/4/2012,14,0,17.6
5/4/2012,14,15,12.42
5/4/2012,14,30,12.48
5/4/2012,14,45,12.03
5/4/2012,15,0,11.52
5/4/2012,15,15,16.7
5/4/2012,15,30,12.29
5/4/2012,15,45,11.71
5/4/2012,16,0,11.71
5/4/2012,16,15,14.34
5/4/2012,16,30,16.58
5/4/2012,16,45,16.45
5/4/2012,17,0,16.51
5/4/2012,17,15,12.67
5/4/2012,17,30,12.35
5/4/2012,17,45,17.34
5/4/2012,18,0,12.29
5/4/2012,18,15,12.16
5/4/2012,18,30,11.65
5/4/2012,18,45,16.26
5/4/2012,19,0,12.03
5/4/2012,19,15,15.74
5/4/2012,19,30,12.29
5/4/2012,19,45,16.26
5/4/2012,20,0,13.89
5/4/2012,20,15,11.97
5/4/2012,20,30,12.29
5/4/2012,20,45,11.78
5/4/2012,21,0,11.78
5/4/2012,21,15,19.46
5/4/2012,21,30,17.54
5/4/2012,21,45,12.1
5/4/2012,22,0,11.58
5/4/2012,22,15,11.58
5/4/2012,22,30,12.1
5/4/2012,22,45,16.83
5/4/2012,23,0,11.97
5/4/2012,23,15,15.55
5/4/2012,23,30,12.03
5/4/2012,23,45,16.26
5/5/2012,0,0,12.29
5/5/2012,0,15,12.29
5/5/2012,0,30,11.78
5/5/2012,0,45,16.96
5/5/2012,1,0,12.03
5/5/2012,1,15,12.03
5/5/2012,1,30,12.03
5/5/2012,1,45,12.35
5/5/2012,2,0,11.84
5/5/2012,2,15,11.84
5/5/2012,2,30,11.84
5/5/2012,2,45,24.26
5/5/2012,3,0,12.29
5/5/2012,3,15,12.29
5/5/2012,3,30,12.29
5/5/2012,3,45,11.78
5/5/2012,4,0,11.78
5/5/2012,4,15,11.78
5/5/2012,4,30,18.11
5/5/2012,4,45,12.42
5/5/2012,5,0,11.9
5/5/2012,5,15,11.9
5/5/2012,5,30,17.6
5/5/2012,5,45,15.62
5/5/2012,6,0,12.29
5/5/2012,6,15,12.22
5/5/2012,6,30,11.71
5/5/2012,6,45,12.03
5/5/2012,7,0,16.9
5/5/2012,7,15,12.16
5/5/2012,7,30,17.92
5/5/2012,7,45,18.5
5/5/2012,8,0,15.42
5/5/2012,8,15,12.29
5/5/2012,8,30,11.78
5/5/2012,8,45,11.78
5/5/2012,9,0,11.78
5/5/2012,9,15,11.78
5/5/2012,9,30,11.78
5/5/2012,9,45,11.78
5/5/2012,10,0,11.78
5/5/2012,10,15,11.78
5/5/2012,10,30,11.78
5/5/2012,10,45,11.78
5/5/2012,11,0,11.78
5/5/2012,11,15,11.78
5/5/2012,11,30,11.78
5/5/2012,11,45,11.78
5/5/2012,12,0,11.78
5/5/2012,12,15,11.78
5/5/2012,12,30,11.78
5/5/2012,12,45,11.78
5/5/2012,13,0,11.78
5/5/2012,13,15,11.78
5/5/2012,13,30,11.78
5/5/2012,13,45,13.25
5/5/2012,14,0,12.03
5/5/2012,14,15,12.03
5/5/2012,14,30,12.03
5/5/2012,14,45,12.03
5/5/2012,15,0,11.52
5/5/2012,15,15,11.52
5/5/2012,15,30,15.49
5/5/2012,15,45,12.42
5/5/2012,16,0,11.84
5/5/2012,16,15,11.84
5/5/2012,16,30,11.84
5/5/2012,16,45,11.84
5/5/2012,17,0,11.33
5/5/2012,17,15,11.33
5/5/2012,17,30,11.33
5/5/2012,17,45,11.33
5/5/2012,18,0,11.33
5/5/2012,18,15,11.33
5/5/2012,18,30,11.33
5/5/2012,18,45,11.33
5/5/2012,19,0,11.33
5/5/2012,19,15,11.33
5/5/2012,19,30,11.33
5/5/2012,19,45,11.33
5/5/2012,20,0,11.33
5/5/2012,20,15,11.33
5/5/2012,20,30,11.33
5/5/2012,20,45,11.33
5/5/2012,21,0,11.33
5/5/2012,21,15,11.33
5/5/2012,21,30,11.33
5/5/2012,21,45,11.33
5/5/2012,22,0,11.33
5/5/2012,22,15,11.33
5/5/2012,22,30,11.33
5/5/2012,22,45,11.33
5/5/2012,23,0,11.33
5/5/2012,23,15,11.33
5/5/2012,23,30,11.33
5/5/2012,23,45,11.33
5/6/2012,0,0,11.33
5/6/2012,0,15,11.33
5/6/2012,0,30,11.33
5/6/2012,0,45,11.33
5/6/2012,1,0,11.33
5/6/2012,1,15,11.33
5/6/2012,1,30,11.33
5/6/2012,1,45,11.33
5/6/2012,2,0,11.33
5/6/2012,2,15,11.33
5/6/2012,2,30,11.33
5/6/2012,2,45,11.33
5/6/2012,3,0,11.33
5/6/2012,3,15,11.33
5/6/2012,3,30,11.33
5/6/2012,3,45,11.33
5/6/2012,4,0,11.33
5/6/2012,4,15,11.33
5/6/2012,4,30,11.33
5/6/2012,4,45,11.33
5/6/2012,5,0,11.33
5/6/2012,5,15,11.97
5/6/2012,5,30,11.97
5/6/2012,5,45,18.05
5/6/2012,6,0,12.22
5/6/2012,6,15,11.71
5/6/2012,6,30,15.17
5/6/2012,6,45,16.64
5/6/2012,7,0,12.22
5/6/2012,7,15,11.71
5/6/2012,7,30,11.71
5/6/2012,7,45,11.71
5/6/2012,8,0,11.71
5/6/2012,8,15,11.78
5/6/2012,8,30,11.84
5/6/2012,8,45,11.84
5/6/2012,9,0,11.84
5/6/2012,9,15,11.84
5/6/2012,9,30,11.84
5/6/2012,9,45,11.84
5/6/2012,10,0,19.14
5/6/2012,10,15,12.03
5/6/2012,10,30,11.58
5/6/2012,10,45,12.1
5/6/2012,11,0,12.1
5/6/2012,11,15,14.98
5/6/2012,11,30,14.72
5/6/2012,11,45,12.03
5/6/2012,12,0,12.03
5/6/2012,12,15,12.03
5/6/2012,12,30,18.69
5/6/2012,12,45,12.03
5/6/2012,13,0,12.48
5/6/2012,13,15,13.63
5/6/2012,13,30,12.16
5/6/2012,13,45,12.29
5/6/2012,14,0,12.1
5/6/2012,14,15,16.9
5/6/2012,14,30,12.16
5/6/2012,14,45,11.65
5/6/2012,15,0,12.22
5/6/2012,15,15,11.9
5/6/2012,15,30,11.9
5/6/2012,15,45,15.36
5/6/2012,16,0,13.38
5/6/2012,16,15,16.9
5/6/2012,16,30,12.22
5/6/2012,16,45,11.71
5/6/2012,17,0,11.71
5/6/2012,17,15,15.1
5/6/2012,17,30,11.97
5/6/2012,17,45,12.35
5/6/2012,18,0,17.22
5/6/2012,18,15,17.15
5/6/2012,18,30,12.1
5/6/2012,18,45,16.77
5/6/2012,19,0,12.22
5/6/2012,19,15,11.26
5/6/2012,19,30,11.26
5/6/2012,19,45,11.2
5/6/2012,20,0,11.2
5/6/2012,20,15,11.2
5/6/2012,20,30,11.2
5/6/2012,20,45,11.2
5/6/2012,21,0,11.2
5/6/2012,21,15,11.2
5/6/2012,21,30,11.2
5/6/2012,21,45,11.2
5/6/2012,22,0,11.2
5/6/2012,22,15,11.2
5/6/2012,22,30,11.2
5/6/2012,22,45,11.2
5/6/2012,23,0,11.2
5/6/2012,23,15,11.2
5/6/2012,23,30,11.2
5/6/2012,23,45,11.2
5/7/2012,0,0,11.2
5/7/2012,0,15,11.2
5/7/2012,0,30,11.2
5/7/2012,0,45,11.2
5/7/2012,1,0,11.2
5/7/2012,1,15,11.2
5/7/2012,1,30,11.2
5/7/2012,1,45,11.2
5/7/2012,2,0,11.2
5/7/2012,2,15,11.2
5/7/2012,2,30,11.2
5/7/2012,2,45,11.2
5/7/2012,3,0,11.2
5/7/2012,3,15,11.2
5/7/2012,3,30,11.2
5/7/2012,3,45,11.2
5/7/2012,4,0,11.2
5/7/2012,4,15,11.2
5/7/2012,4,30,11.97
5/7/2012,4,45,11.97
5/7/2012,5,0,11.97
5/7/2012,5,15,16.64
5/7/2012,5,30,14.34
5/7/2012,5,45,12.16
5/7/2012,6,0,11.65
5/7/2012,6,15,11.65
5/7/2012,6,30,11.65
5/7/2012,6,45,11.65
5/7/2012,7,0,11.65
5/7/2012,7,15,11.65
5/7/2012,7,30,11.65
5/7/2012,7,45,11.65
5/7/2012,8,0,12.03
5/7/2012,8,15,12.03
5/7/2012,8,30,12.03
5/7/2012,8,45,12.03
5/7/2012,9,0,11.52
5/7/2012,9,15,11.52
5/7/2012,9,30,12.1
5/7/2012,9,45,16.77
5/7/2012,10,0,12.1
5/7/2012,10,15,12.16
5/7/2012,10,30,12.03
5/7/2012,10,45,11.97
5/7/2012,11,0,11.97
5/7/2012,11,15,11.97
5/7/2012,11,30,11.97
5/7/2012,11,45,11.97
5/7/2012,12,0,11.97
5/7/2012,12,15,16.77
5/7/2012,12,30,18.05
5/7/2012,12,45,17.28
5/7/2012,13,0,17.66
5/7/2012,13,15,12.35
5/7/2012,13,30,11.84
5/7/2012,13,45,11.97
5/7/2012,14,0,18.24
5/7/2012,14,15,15.55
5/7/2012,14,30,12.22
5/7/2012,14,45,11.78
5/7/2012,15,0,11.78
5/7/2012,15,15,11.78
5/7/2012,15,30,11.78
5/7/2012,15,45,12.1
5/7/2012,16,0,16.38
5/7/2012,16,15,12.22
5/7/2012,16,30,15.74
5/7/2012,16,45,12.29
5/7/2012,17,0,11.78
5/7/2012,17,15,12.29
5/7/2012,17,30,17.02
5/7/2012,17,45,18.94
5/7/2012,18,0,16.58
5/7/2012,18,15,12.1
5/7/2012,18,30,12.1
5/7/2012,18,45,12.1
5/7/2012,19,0,12.22
5/7/2012,19,15,16.96
5/7/2012,19,30,19.46
5/7/2012,19,45,11.97
5/7/2012,20,0,11.97
5/7/2012,20,15,11.97
5/7/2012,20,30,11.97
5/7/2012,20,45,15.55
5/7/2012,21,0,15.87
5/7/2012,21,15,15.04
5/7/2012,21,30,12.93
5/7/2012,21,45,11.84
5/7/2012,22,0,11.84
5/7/2012,22,15,11.84
5/7/2012,22,30,11.84
5/7/2012,22,45,11.84
5/7/2012,23,0,20.16
5/7/2012,23,15,18.24
5/7/2012,23,30,12.42
5/7/2012,23,45,12.16
5/8/2012,0,0,11.97
5/8/2012,0,15,11.97
5/8/2012,0,30,11.9
5/8/2012,0,45,12.22
5/8/2012,1,0,11.71
5/8/2012,1,15,11.71
5/8/2012,1,30,11.71
5/8/2012,1,45,11.71
5/8/2012,2,0,11.71
5/8/2012,2,15,15.1
5/8/2012,2,30,16.83
5/8/2012,2,45,11.9
5/8/2012,3,0,11.9
5/8/2012,3,15,12.03
5/8/2012,3,30,17.6
5/8/2012,3,45,12.67
5/8/2012,4,0,11.65
5/8/2012,4,15,12.22
5/8/2012,4,30,15.04
5/8/2012,4,45,16
5/8/2012,5,0,11.97
5/8/2012,5,15,12.54
5/8/2012,5,30,14.34
5/8/2012,5,45,11.9
5/8/2012,6,0,11.97
5/8/2012,6,15,11.97
5/8/2012,6,30,11.97
