Date,Hour,Minute,Power (kW)
5/6/2012,9,45,7.49
5/6/2012,10,0,7.81
5/6/2012,10,15,13.12
5/6/2012,10,30,14.02
5/6/2012,10,45,13.7
5/6/2012,11,0,9.86
5/6/2012,11,15,7.42
5/6/2012,11,30,7.17
5/6/2012,11,45,12.48
5/6/2012,12,0,13.06
5/6/2012,12,15,13.44
5/6/2012,12,30,12.8
5/6/2012,12,45,13.82
5/6/2012,13,0,12.42
5/6/2012,13,15,7.62
5/6/2012,13,30,7.55
5/6/2012,13,45,7.68
5/6/2012,14,0,7.42
5/6/2012,14,15,7.62
5/6/2012,14,30,7.55
5/6/2012,14,45,9.22
5/6/2012,15,0,12.8
5/6/2012,15,15,14.59
5/6/2012,15,30,13.7
5/6/2012,15,45,13.63
5/6/2012,16,0,9.98
5/6/2012,16,15,7.74
5/6/2012,16,30,49.41
5/6/2012,16,45,8.9
5/6/2012,17,0,13.76
5/6/2012,17,15,12.93
5/6/2012,17,30,8.38
5/6/2012,17,45,10.62
5/6/2012,18,0,12.67
5/6/2012,18,15,7.62
5/6/2012,18,30,7.49
5/6/2012,18,45,8.06
5/6/2012,19,0,13.63
5/6/2012,19,15,8
5/6/2012,19,30,8.58
5/6/2012,19,45,12.99
5/6/2012,20,0,13.12
5/6/2012,20,15,7.36
5/6/2012,20,30,13.31
5/6/2012,20,45,12.74
5/6/2012,21,0,7.3
5/6/2012,21,15,12.54
5/6/2012,21,30,8.13
5/6/2012,21,45,7.36
5/6/2012,22,0,12.74
5/6/2012,22,15,7.36
5/6/2012,22,30,7.36
5/6/2012,22,45,12.74
5/6/2012,23,0,7.74
5/6/2012,23,15,8.51
5/6/2012,23,30,12.8
5/6/2012,23,45,72.64
5/7/2012,0,0,7.62
5/7/2012,0,15,7.74
5/7/2012,0,30,12.8
5/7/2012,0,45,7.55
5/7/2012,1,0,8
5/7/2012,1,15,8.83
5/7/2012,1,30,18.62
5/7/2012,1,45,14.78
5/7/2012,2,0,7.55
5/7/2012,2,15,8.38
5/7/2012,2,30,7.81
5/7/2012,2,45,9.6
5/7/2012,3,0,13.06
5/7/2012,3,15,12.93
5/7/2012,3,30,12.93
5/7/2012,3,45,12.61
5/7/2012,4,0,7.36
5/7/2012,4,15,11.39
5/7/2012,4,30,7.49
5/7/2012,4,45,8.06
5/7/2012,5,0,13.12
5/7/2012,5,15,12.29
5/7/2012,5,30,7.42
5/7/2012,5,45,7.42
5/7/2012,6,0,10.24
5/7/2012,6,15,12.93
5/7/2012,6,30,7.36
5/7/2012,6,45,7.3
5/7/2012,7,0,7.49
5/7/2012,7,15,13.57
5/7/2012,7,30,13.63
5/7/2012,7,45,7.55
5/7/2012,8,0,7.49
5/7/2012,8,15,13.38
5/7/2012,8,30,12.8
5/7/2012,8,45,7.3
5/7/2012,9,0,7.42
5/7/2012,9,15,13.18
5/7/2012,9,30,12.8
5/7/2012,9,45,8.96
5/7/2012,10,0,8.32
5/7/2012,10,15,13.5
5/7/2012,10,30,7.42
5/7/2012,10,45,7.49
5/7/2012,11,0,8
5/7/2012,11,15,12.93
5/7/2012,11,30,12.99
5/7/2012,11,45,7.3
5/7/2012,12,0,7.49
5/7/2012,12,15,13.25
5/7/2012,12,30,8.13
5/7/2012,12,45,7.74
5/7/2012,13,0,13.95
5/7/2012,13,15,13.31
5/7/2012,13,30,7.62
5/7/2012,13,45,7.55
5/7/2012,14,0,13.7
5/7/2012,14,15,7.36
5/7/2012,14,30,8.32
5/7/2012,14,45,7.1
5/7/2012,15,0,16.06
5/7/2012,15,15,7.42
5/7/2012,15,30,8.06
5/7/2012,15,45,13.89
5/7/2012,16,0,8.58
5/7/2012,16,15,7.55
5/7/2012,16,30,12.93
5/7/2012,16,45,34.05
5/7/2012,17,0,12.03
5/7/2012,17,15,13.76
5/7/2012,17,30,7.68
5/7/2012,17,45,12.74
5/7/2012,18,0,7.36
5/7/2012,18,15,13.25
5/7/2012,18,30,13.44
5/7/2012,18,45,7.62
5/7/2012,19,0,13.18
5/7/2012,19,15,7.49
5/7/2012,19,30,13.06
5/7/2012,19,45,7.62
5/7/2012,20,0,13.38
5/7/2012,20,15,14.14
5/7/2012,20,30,13.7
5/7/2012,20,45,7.62
5/7/2012,21,0,12.93
5/7/2012,21,15,7.74
5/7/2012,21,30,13.18
5/7/2012,21,45,7.36
5/7/2012,22,0,13.76
5/7/2012,22,15,7.68
5/7/2012,22,30,12.86
5/7/2012,22,45,7.74
